12171,1217 N Huey
12291,1229 N Huey
13100,1310 N Huey
13291,1329 N Huey
13480,1348 N Huey
15260,1526 N Huey
16101,1610 N Huey
16420,1642 N Huey
17331,1733 N Huey
18590,1859 N Huey
26110,2611 Humboldt
01130,113 S Illinois
01421,142 S Illinois
02050,205 N Illinois
02341,234 N Illinois
02530,253 N Illinois
02580,258 N Illinois
03261,326 S Illinois
05131,513 S Illinois
06132,613 S Illinois
08101,810 S Illinois
01300,130 Indiana
01360,136 Indiana
02191,219 Indiana
05211,521 E Indiana
05291,529 E Indiana
06330,633 E Indiana
07180,718 E Indiana
08142,814 E Indiana
11291,1129 E Indiana
12040,1204 E Indiana
12092,1209 E Indiana
12131,1213 E Indiana
12161,1216 E Indiana
13380,1338 E Indiana
13481,1348 E Indiana
21070,2107 W Indiana
04090,409 Irvington
05132,513 Irvington
09022,902 Irvington
05202,520 S Jackson
05292,529 S Jackson
05340,534 S Jackson
06170,617 S Jackson
07061,706 Jacob
05093,509 W Jefferson
10121,1012 W Jefferson
10293,1029 W Jefferson
10301,1030 W Jefferson
10320,1032 W Jefferson
10350,1035 W Jefferson
11292,1129 W Jefferson
12250,1225 W Jefferson
12292,1229 W Jefferson
32200,3220 W Jefferson
38060,3806 W Jefferson
03093,309 Johnson
03110,311 Johnson
03131,313 Johnson
03242,324 Johnson
03300,330 Johnson
04050,405 Johnson
05141,514 Johnson
05203,520 Johnson
06021,602 Johnson
06062,606 Johnson
06303,630 Johnson
07012,701 Johnson
07030,703 Johnson
07143,714 Johnson
07270,727 Johnson
08021,802 Johnson
08051,805 Johnson
08060,806 Johnson
08261,826 Johnson
09230,923 Johnson
10010,1001 Johnson
10252,1025 Johnson
10294,1029 Johnson
11063,1106 Johnson
11070,1107 Johnson
11103,1110 Johnson
11111,1111 Johnson
11143,1114 Johnson
11182,1118 Johnson
11230,1123 Johnson
11270,1127 Johnson
11460,1146 Johnson
12141,1214 Johnson
12293,1229 Johnson
16021,1602 Johnson
16460,1646 Johnson
17022,1702 Johnson
17170,1717 Johnson
17270,1727 Johnson
20280,2028 Johnson
21180,2118 Johnson
21260,2126 Johnson
04212,421 S Kaley
04330,433 S Kaley
